"state","cd106","cd108","cd109","county","stab","cntyname","intptlon","intptlat","pop2k","afact","AFACT2"
"FIPS state","Cong District - 106th (1998)","108th Congressional District (2002)","Cong District - 109th (2004)","county","State Postal Code","cntyname","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Total Pop, 2000 census","cd109 to county allocation factor","county to cd109 allocation factor"
"01","02","02","02","01001","AL","Autauga AL",-86.501857,32.500323,43671,0.073413,1 
"01","01","01","01","01003","AL","Baldwin AL",-87.760623,30.565383,140415,0.221035,1 
"01","02","02","02","01005","AL","Barbour AL",-85.306643,31.847869,29038,0.048815,1 
"01","03","06","06","01007","AL","Bibb AL",-87.153134,33.010246,16650,0.139741,0.799481 
"01","06","06","06","01007","AL","Bibb AL",-87.022863,33.088549,4176,0.008178,0.200518 
"01","04","04","04","01009","AL","Blount AL",-86.582527,33.962601,51024,0.087905,1 
"01","02","02","02","01011","AL","Bullock AL",-85.702785,32.114144,11714,0.019692,1 
"01","02","02","02","01013","AL","Butler AL",-86.656022,31.771916,21399,0.035973,1 
"01","03","03","03","01015","AL","Calhoun AL",-85.822006,33.722127,112249,0.216139,1 
"01","03","03","03","01017","AL","Chambers AL",-85.265907,32.86135,36583,0.070442,1 
"01","04","03","03","01019","AL","Cherokee AL",-85.627097,34.179934,23988,1,1 
"01","03","06","06","01021","AL","Chilton AL",-86.690425,32.873767,39593,0.332298,1 
"01","07","07","07","01023","AL","Choctaw AL",-88.261711,32.022546,15922,0.03449,1 
"01","01","01","01","01025","AL","Clarke AL",-87.843939,31.647773,14143,0.022263,0.507518 
"01","01","07","07","01025","AL","Clarke AL",-87.755879,31.721648,10919,1,0.391825 
"01","07","01","01","01025","AL","Clarke AL",-88.017734,31.63538,38,1,0.001364 
"01","07","07","07","01025","AL","Clarke AL",-87.893348,31.763423,2767,0.005994,0.099293 
"01","03","03","03","01027","AL","Clay AL",-85.818784,33.271389,14254,0.027446,1 
"01","03","03","03","01029","AL","Cleburne AL",-85.500897,33.623107,14123,0.027194,1 
"01","02","02","02","01031","AL","Coffee AL",-85.91585,31.356766,43615,0.073319,1 
"01","05","05","05","01033","AL","Colbert AL",-87.687401,34.72299,54984,0.090873,1 
"01","02","02","02","01035","AL","Conecuh AL",-86.995678,31.417059,14089,0.023684,1 
"01","03","03","03","01037","AL","Coosa AL",-86.09787,32.957163,9000,0.01733,0.737584 
"01","03","06","06","01037","AL","Coosa AL",-86.303992,33.03945,3202,0.026874,0.262416 
"01","02","02","02","01039","AL","Covington AL",-86.411527,31.283897,37631,0.06326,1 
"01","02","02","02","01041","AL","Crenshaw AL",-86.298403,31.741562,13665,0.022972,1 
"01","04","04","04","01043","AL","Cullman AL",-86.831669,34.162156,77483,0.133489,1 
"01","02","02","02","01045","AL","Dale AL",-85.641937,31.387656,49129,0.082589,1 
"01","07","07","07","01047","AL","Dallas AL",-87.034494,32.405732,46365,0.100436,1 
"01","04","04","04","01049","AL","DeKalb AL",-85.810015,34.459779,64452,0.111039,1 
"01","02","02","02","01051","AL","Elmore AL",-86.218169,32.564913,65874,0.110738,1 
"01","01","01","01","01053","AL","Escambia AL",-87.281911,31.086381,38440,0.06051,1 
"01","04","04","04","01055","AL","Etowah AL",-86.024453,34.015075,103459,0.178241,1 
"01","04","04","04","01057","AL","Fayette AL",-87.771422,33.724161,18495,0.031864,1 
"01","04","04","04","01059","AL","Franklin AL",-87.799806,34.457978,31223,0.053792,1 
"01","02","02","02","01061","AL","Geneva AL",-85.794892,31.094166,25764,0.043311,1 
"01","07","07","07","01063","AL","Greene AL",-87.927248,32.829757,9974,0.021606,1 
"01","07","07","07","01065","AL","Hale AL",-87.629655,32.772358,17185,0.037226,1 
"01","02","02","02","01067","AL","Henry AL",-85.265542,31.490361,16310,0.027418,1 
"01","02","02","02","01069","AL","Houston AL",-85.386891,31.205398,88787,0.149256,1 
"01","05","05","05","01071","AL","Jackson AL",-85.940169,34.733704,53926,0.089124,1 
"01","06","06","06","01073","AL","Jefferson AL",-86.798017,33.530297,321657,0.629879,0.485852 
"01","06","07","07","01073","AL","Jefferson AL",-86.766174,33.566031,111695,0.724676,0.168712 
"01","07","06","06","01073","AL","Jefferson AL",-86.795293,33.53725,5482,0.999088,0.00828 
"01","07","07","07","01073","AL","Jefferson AL",-86.871785,33.484132,223213,0.483523,0.337156 
"01","04","04","04","01075","AL","Lamar AL",-88.108875,33.764883,15904,0.0274,1 
"01","05","05","05","01077","AL","Lauderdale AL",-87.608495,34.866759,87966,0.145382,1 
"01","04","05","05","01079","AL","Lawrence AL",-87.257503,34.528479,30233,1,0.868689 
"01","05","05","05","01079","AL","Lawrence AL",-87.387408,34.67575,4570,0.007553,0.13131 
"01","03","03","03","01081","AL","Lee AL",-85.352567,32.59172,115092,0.221613,1 
"01","05","05","05","01083","AL","Limestone AL",-86.954086,34.821982,65676,0.108543,1 
"01","07","02","02","01085","AL","Lowndes AL",-86.620998,32.162781,13473,0.333193,1 
"01","03","03","03","01087","AL","Macon AL",-85.709513,32.423496,24105,0.046415,1 
"01","05","05","05","01089","AL","Madison AL",-86.605896,34.743145,276700,0.457305,1 
"01","07","07","07","01091","AL","Marengo AL",-87.803155,32.339825,22539,0.048824,1 
"01","04","04","04","01093","AL","Marion AL",-87.874018,34.112081,31214,0.053776,1 
"01","04","04","04","01095","AL","Marshall AL",-86.296816,34.315395,82231,0.141669,1 
"01","01","01","01","01097","AL","Mobile AL",-88.15954,30.686153,399843,0.629414,1 
"01","01","01","01","01099","AL","Monroe AL",-87.358858,31.511729,24324,0.03829,1 
"01","02","02","02","01101","AL","Montgomery AL",-86.257005,32.362601,104573,0.175793,0.467867 
"01","02","03","03","01101","AL","Montgomery AL",-86.18931,32.325584,55457,1,0.248119 
"01","07","02","02","01101","AL","Montgomery AL",-86.325348,32.378835,26963,0.666807,0.120634 
"01","07","03","03","01101","AL","Montgomery AL",-86.317242,32.310116,36517,1,0.16338 
"01","05","04","04","01103","AL","Morgan AL",-86.851397,34.472212,49819,1,0.448561 
"01","05","05","05","01103","AL","Morgan AL",-86.992784,34.549654,61245,0.10122,0.551439 
"01","07","07","07","01105","AL","Perry AL",-87.3684,32.582916,11861,0.025693,1 
"01","04","04","04","01107","AL","Pickens AL",-87.98445,33.370285,9402,0.016198,0.448804 
"01","04","07","07","01107","AL","Pickens AL",-88.118203,33.219502,8611,1,0.411046 
"01","07","07","07","01107","AL","Pickens AL",-88.241544,33.225727,2936,0.00636,0.14015 
"01","02","02","02","01109","AL","Pike AL",-85.942882,31.784171,29605,0.049768,1 
"01","03","03","03","01111","AL","Randolph AL",-85.419576,33.252236,22380,0.043093,1 
"01","03","03","03","01113","AL","Russell AL",-85.069723,32.421223,49756,0.095807,1 
"01","03","04","04","01115","AL","St. Clair AL",-86.227295,33.89397,5038,1,0.077817 
"01","03","06","06","01115","AL","St. Clair AL",-86.363813,33.645544,59704,0.501087,0.922183 
"01","06","06","06","01117","AL","Shelby AL",-86.737266,33.289711,143293,0.280601,1 
"01","07","07","07","01119","AL","Sumter AL",-88.234777,32.566853,14798,0.032055,1 
"01","03","03","03","01121","AL","Talladega AL",-86.173421,33.365011,80321,0.15466,1 
"01","03","03","03","01123","AL","Tallapoosa AL",-85.862335,32.857195,41475,0.079861,1 
"01","06","06","06","01125","AL","Tuscaloosa AL",-87.57668,33.293812,41538,0.081341,0.251936 
"01","06","07","07","01125","AL","Tuscaloosa AL",-87.542263,33.207388,42436,0.275324,0.257383 
"01","07","06","06","01125","AL","Tuscaloosa AL",-87.557692,33.236034,5,0.000911,0.00003 
"01","07","07","07","01125","AL","Tuscaloosa AL",-87.487938,33.174324,80896,0.175236,0.49065 
"01","04","04","04","01127","AL","Walker AL",-87.251353,33.830473,70713,0.121826,1 
"01","01","01","01","01129","AL","Washington AL",-88.183904,31.41443,18097,0.028487,1 
"01","07","07","07","01131","AL","Wilcox AL",-87.376961,32.003418,13183,0.028557,1 
