"cd102","103rd Congressional District","county","cntyname","fplace80","plac80nm","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","1990 POP","cd103 to county allocation factor","county to cd103 allocation factor"
"03","02","01001","Autauga AL"," "," ",86.509164,32.497991,34222,0.016895,1 
"01","01","01003","Baldwin AL"," "," ",87.769377,30.580804,98280,0.004916,1 
"02","02","01005","Barbour AL"," "," ",85.296515,31.853091,25417,0.001315,1 
"07","03","01007","Bibb AL"," "," ",87.151134,33.003513,13057,0.139443,0.787705 
"07","06","01007","Bibb AL"," "," ",87.035585,33.0901,3519,0.004421,0.212295 
"04","04","01009","Blount AL"," "," ",86.577419,33.96573,39248,0.003044,1 
"02","02","01011","Bullock AL"," "," ",85.700381,32.110958,11042,0.000571,1 
"02","02","01013","Butler AL"," "," ",86.659292,31.767811,21892,0.001133,1 
"03","03","01015","Calhoun AL"," "," ",85.819206,33.720706,116034,0.008192,1 
"03","03","01017","Chambers AL"," "," ",85.265471,32.86273,36876,0.002603,1 
"04","04","01019","Cherokee AL"," "," ",85.630266,34.176772,19543,0.001515,1 
"07","03","01021","Chilton AL"," "," ",86.685824,32.868317,32458,0.346636,1 
"07","07","01023","Choctaw AL"," "," ",88.261608,32.025851,16018,0.001994,1 
"01","01","01025","Clarke AL"," "," ",87.80946,31.672508,24123,0.001207,0.885572 
"01","07","01025","Clarke AL"," "," ",87.887908,31.768138,3117,0.016912,0.114427 
"03","03","01027","Clay AL"," "," ",85.822023,33.26951,13252,0.000936,1 
"03","03","01029","Cleburne AL"," "," ",85.50588,33.622064,12730,0.000899,1 
"02","02","01031","Coffee AL"," "," ",85.917038,31.35583,40240,0.002082,1 
"05","05","01033","Colbert AL"," "," ",87.689697,34.724228,51666,0.004627,1 
"02","02","01035","Conecuh AL"," "," ",86.990831,31.417748,14054,0.000727,1 
"03","03","01037","Coosa AL"," "," ",86.150835,32.981883,11063,0.000781,1 
"02","02","01039","Covington AL"," "," ",86.410931,31.281779,36478,0.001887,1 
"02","02","01041","Crenshaw AL"," "," ",86.296498,31.737201,13635,0.000705,1 
"04","04","01043","Cullman AL"," "," ",86.829446,34.163673,67613,0.005243,1 
"02","02","01045","Dale AL"," "," ",85.647492,31.383566,49633,0.002568,1 
"07","07","01047","Dallas AL"," "," ",87.036274,32.400997,48130,0.005992,1 
"04","04","01049","DeKalb AL"," "," ",85.804302,34.46356,54651,0.004238,1 
"03","02","01051","Elmore AL"," "," ",86.204166,32.565186,49210,0.024294,1 
"01","01","01053","Escambia AL"," "," ",87.272304,31.082534,35518,0.001777,1 
"04","04","01055","Etowah AL"," "," ",86.024472,34.015319,99840,0.007742,1 
"04","04","01057","Fayette AL"," "," ",87.772393,33.722373,17962,0.001393,1 
"04","04","01059","Franklin AL"," "," ",87.80981,34.455159,27814,0.002157,1 
"02","02","01061","Geneva AL"," "," ",85.803473,31.092948,23647,0.001224,1 
"07","07","01063","Greene AL"," "," ",87.925237,32.82922,10153,0.001264,1 
"07","07","01065","Hale AL"," "," ",87.62634,32.764396,15498,0.001929,1 
"02","02","01067","Henry AL"," "," ",85.268106,31.489094,15374,0.000795,1 
"02","02","01069","Houston AL"," "," ",85.380851,31.207248,81331,0.004208,1 
"05","05","01071","Jackson AL"," "," ",85.941505,34.737267,47796,0.00428,1 
"06","06","01073","Jefferson AL"," "," ",86.754772,33.564943,324168,0.031483,0.497553 
"06","07","01073","Jefferson AL"," "," ",86.844575,33.509766,213011,0.25666,0.326942 
"07","06","01073","Jefferson AL"," "," ",86.967274,33.445052,68842,0.086489,0.105663 
"07","07","01073","Jefferson AL"," "," ",86.965365,33.393289,45504,0.005665,0.069842 
"04","04","01075","Lamar AL"," "," ",88.106957,33.766058,15715,0.001219,1 
"05","05","01077","Lauderdale AL"," "," ",87.614401,34.862471,79661,0.007134,1 
"05","04","01079","Lawrence AL"," "," ",87.262586,34.53046,26499,0.016154,0.840891 
"05","05","01079","Lawrence AL"," "," ",87.380718,34.678922,5014,0.000449,0.159109 
