"state","cd108","cd109","county","stab","cntyname","pop2k","afact"
"FIPS state","108th Congressional District (2002)","Cong District - 109th (2004)","county","State Postal Code","cntyname","Total Pop, 2000 census","cd109 to county allocation factor"
"01","01","01","01003","AL","Baldwin AL",140415,0.221 
"01","01","01","01025","AL","Clarke AL",14181,0.0223 
"01","01","01","01053","AL","Escambia AL",38440,0.0605 
"01","01","01","01097","AL","Mobile AL",399843,0.6294 
"01","01","01","01099","AL","Monroe AL",24324,0.0383 
"01","01","01","01129","AL","Washington AL",18097,0.0285 
"01","02","02","01001","AL","Autauga AL",43671,0.0687 
"01","02","02","01005","AL","Barbour AL",29038,0.0457 
"01","02","02","01011","AL","Bullock AL",11714,0.0184 
"01","02","02","01013","AL","Butler AL",21399,0.0337 
"01","02","02","01031","AL","Coffee AL",43615,0.0687 
"01","02","02","01035","AL","Conecuh AL",14089,0.0222 
"01","02","02","01039","AL","Covington AL",37631,0.0592 
"01","02","02","01041","AL","Crenshaw AL",13665,0.0215 
"01","02","02","01045","AL","Dale AL",49129,0.0773 
"01","02","02","01051","AL","Elmore AL",65874,0.1037 
"01","02","02","01061","AL","Geneva AL",25764,0.0406 
"01","02","02","01067","AL","Henry AL",16310,0.0257 
"01","02","02","01069","AL","Houston AL",88787,0.1398 
"01","02","02","01085","AL","Lowndes AL",13473,0.0212 
"01","02","02","01101","AL","Montgomery AL",131536,0.207 
"01","02","02","01109","AL","Pike AL",29605,0.0466 
"01","03","03","01015","AL","Calhoun AL",112249,0.1767 
"01","03","03","01017","AL","Chambers AL",36583,0.0576 
"01","03","03","01019","AL","Cherokee AL",23988,0.0378 
"01","03","03","01027","AL","Clay AL",14254,0.0224 
"01","03","03","01029","AL","Cleburne AL",14123,0.0222 
"01","03","03","01037","AL","Coosa AL",9000,0.0142 
"01","03","03","01081","AL","Lee AL",115092,0.1812 
"01","03","03","01087","AL","Macon AL",24105,0.0379 
"01","03","03","01101","AL","Montgomery AL",91974,0.1448 
"01","03","03","01111","AL","Randolph AL",22380,0.0352 
"01","03","03","01113","AL","Russell AL",49756,0.0783 
"01","03","03","01121","AL","Talladega AL",80321,0.1264 
"01","03","03","01123","AL","Tallapoosa AL",41475,0.0653 
"01","04","04","01009","AL","Blount AL",51024,0.0803 
"01","04","04","01043","AL","Cullman AL",77483,0.122 
"01","04","04","01049","AL","DeKalb AL",64452,0.1015 
"01","04","04","01055","AL","Etowah AL",103459,0.1629 
"01","04","04","01057","AL","Fayette AL",18495,0.0291 
"01","04","04","01059","AL","Franklin AL",31223,0.0491 
"01","04","04","01075","AL","Lamar AL",15904,0.025 
"01","04","04","01093","AL","Marion AL",31214,0.0491 
"01","04","04","01095","AL","Marshall AL",82231,0.1294 
"01","04","04","01103","AL","Morgan AL",49819,0.0784 
"01","04","04","01107","AL","Pickens AL",9402,0.0148 
"01","04","04","01115","AL","St. Clair AL",5038,0.0079 
"01","04","04","01127","AL","Walker AL",70713,0.1113 
"01","04","04","01133","AL","Winston AL",24843,0.0391 
"01","05","05","01033","AL","Colbert AL",54984,0.0865 
"01","05","05","01071","AL","Jackson AL",53926,0.0849 
"01","05","05","01077","AL","Lauderdale AL",87966,0.1385 
"01","05","05","01079","AL","Lawrence AL",34803,0.0548 
"01","05","05","01083","AL","Limestone AL",65676,0.1034 
"01","05","05","01089","AL","Madison AL",276700,0.4355 
"01","05","05","01103","AL","Morgan AL",61245,0.0964 
"01","06","06","01007","AL","Bibb AL",20826,0.0328 
"01","06","06","01021","AL","Chilton AL",39593,0.0623 
"01","06","06","01037","AL","Coosa AL",3202,0.005 
"01","06","06","01073","AL","Jefferson AL",327139,0.5149 
"01","06","06","01115","AL","St. Clair AL",59704,0.094 
"01","06","06","01117","AL","Shelby AL",143293,0.2256 
"01","06","06","01125","AL","Tuscaloosa AL",41543,0.0654 
"01","07","07","01023","AL","Choctaw AL",15922,0.0251 
"01","07","07","01025","AL","Clarke AL",13686,0.0215 
"01","07","07","01047","AL","Dallas AL",46365,0.073 
"01","07","07","01063","AL","Greene AL",9974,0.0157 
"01","07","07","01065","AL","Hale AL",17185,0.0271 
"01","07","07","01073","AL","Jefferson AL",334908,0.5272 
"01","07","07","01091","AL","Marengo AL",22539,0.0355 
"01","07","07","01105","AL","Perry AL",11861,0.0187 
"01","07","07","01107","AL","Pickens AL",11547,0.0182 
"01","07","07","01119","AL","Sumter AL",14798,0.0233 
"01","07","07","01125","AL","Tuscaloosa AL",123332,0.1941 
"01","07","07","01131","AL","Wilcox AL",13183,0.0208 
"02","00","00","02013","AK","Aleutians East Borough AK",2697,0.0043 
"02","00","00","02016","AK","Aleutians West Census Area AK",5465,0.0087 
"02","00","00","02020","AK","Anchorage Borough AK",260283,0.4152 
"02","00","00","02050","AK","Bethel Census Area AK",16006,0.0255 
"02","00","00","02060","AK","Bristol Bay Borough AK",1258,0.002 
"02","00","00","02068","AK","Denali Borough AK",1893,0.003 
"02","00","00","02070","AK","Dillingham Census Area AK",4922,0.0079 
"02","00","00","02090","AK","Fairbanks North Star Borough AK",82840,0.1321 
"02","00","00","02100","AK","Haines Borough AK",2392,0.0038 
"02","00","00","02110","AK","Juneau Borough AK",30711,0.049 
"02","00","00","02122","AK","Kenai Peninsula Borough AK",49691,0.0793 
"02","00","00","02130","AK","Ketchikan Gateway Borough AK",14070,0.0224 
"02","00","00","02150","AK","Kodiak Island Borough AK",13913,0.0222 
"02","00","00","02164","AK","Lake and Peninsula Borough AK",1823,0.0029 
"02","00","00","02170","AK","Matanuska-Susitna Borough AK",59322,0.0946 
"02","00","00","02180","AK","Nome Census Area AK",9196,0.0147 
"02","00","00","02185","AK","North Slope Borough AK",7385,0.0118 
"02","00","00","02188","AK","Northwest Arctic Borough AK",7208,0.0115 
"02","00","00","02201","AK","Prince of Wales-Outer Ketchikan Census AK",6146,0.0098 
"02","00","00","02220","AK","Sitka Borough AK",8835,0.0141 
"02","00","00","02232","AK","Skagway-Hoonah-Angoon Census Area AK (D)",3436,0.0055 
"02","00","00","02240","AK","Southeast Fairbanks Census Area AK",6174,0.0098 
"02","00","00","02261","AK","Valdez-Cordova Census Area AK",10195,0.0163 
"02","00","00","02270","AK","Wade Hampton Census Area AK (D)",7028,0.0112 
"02","00","00","02280","AK","Wrangell-Petersburg Census Area AK",6684,0.0107 
"02","00","00","02282","AK","Yakutat Borough AK",808,0.0013 
"02","00","00","02290","AK","Yukon-Koyukuk Census Area AK",6551,0.0104 
"04","01","01","04001","AZ","Apache AZ",69423,0.1082 
"04","01","01","04005","AZ","Coconino AZ",114795,0.179 
"04","01","01","04007","AZ","Gila AZ",51335,0.08 
"04","01","01","04009","AZ","Graham AZ",33489,0.0522 
"04","01","01","04011","AZ","Greenlee AZ",8547,0.0133 
"04","01","01","04017","AZ","Navajo AZ",91658,0.1429 
"04","01","01","04021","AZ","Pinal AZ",104566,0.163 
"04","01","01","04025","AZ","Yavapai AZ",167516,0.2612 
"04","02","02","04005","AZ","Coconino AZ",1525,0.0024 
"04","02","02","04012","AZ","La Paz AZ",23,0 
"04","02","02","04013","AZ","Maricopa AZ",478936,0.7468 
"04","02","02","04015","AZ","Mohave AZ",155032,0.2417 
"04","02","02","04017","AZ","Navajo AZ",5812,0.0091 
"04","02","02","04025","AZ","Yavapai AZ",1,0 
"04","03","03","04013","AZ","Maricopa AZ",641329,1 
"04","04","04","04013","AZ","Maricopa AZ",641329,1 
"04","05","05","04013","AZ","Maricopa AZ",641329,1 
"04","06","06","04013","AZ","Maricopa AZ",588659,0.9179 
"04","06","06","04021","AZ","Pinal AZ",52670,0.0821 
"04","07","07","04012","AZ","La Paz AZ",19692,0.0307 
"04","07","07","04013","AZ","Maricopa AZ",80567,0.1256 
"04","07","07","04019","AZ","Pima AZ",329049,0.5131 
"04","07","07","04021","AZ","Pinal AZ",17764,0.0277 
"04","07","07","04023","AZ","Santa Cruz AZ",34231,0.0534 
"04","07","07","04027","AZ","Yuma AZ",160026,0.2495 
"04","08","08","04003","AZ","Cochise AZ",117755,0.1836 
"04","08","08","04019","AZ","Pima AZ",514697,0.8025 
"04","08","08","04021","AZ","Pinal AZ",4727,0.0074 
"04","08","08","04023","AZ","Santa Cruz AZ",4150,0.0065 
"05","01","01","05001","AR","Arkansas AR",20749,0.031 
"05","01","01","05005","AR","Baxter AR",38386,0.0574 
"05","01","01","05021","AR","Clay AR",17609,0.0263 
"05","01","01","05023","AR","Cleburne AR",24046,0.036 
"05","01","01","05031","AR","Craighead AR",82148,0.1229 
"05","01","01","05035","AR","Crittenden AR",50866,0.0761 
"05","01","01","05037","AR","Cross AR",19526,0.0292 
"05","01","01","05049","AR","Fulton AR",11642,0.0174 
"05","01","01","05055","AR","Greene AR",37331,0.0559 
"05","01","01","05063","AR","Independence AR",34233,0.0512 
"05","01","01","05065","AR","Izard AR",13249,0.0198 
"05","01","01","05067","AR","Jackson AR",18418,0.0276 
"05","01","01","05075","AR","Lawrence AR",17774,0.0266 
"05","01","01","05077","AR","Lee AR",12580,0.0188 
"05","01","01","05085","AR","Lonoke AR",52828,0.079 
"05","01","01","05093","AR","Mississippi AR",51979,0.0778 
"05","01","01","05095","AR","Monroe AR",10254,0.0153 
"05","01","01","05107","AR","Phillips AR",26445,0.0396 
"05","01","01","05111","AR","Poinsett AR",25614,0.0383 
"05","01","01","05117","AR","Prairie AR",9539,0.0143 
"05","01","01","05121","AR","Randolph AR",18195,0.0272 
"05","01","01","05123","AR","St. Francis AR",29329,0.0439 
"05","01","01","05129","AR","Searcy AR",8261,0.0124 
"05","01","01","05135","AR","Sharp AR",17119,0.0256 
"05","01","01","05137","AR","Stone AR",11499,0.0172 
"05","01","01","05147","AR","Woodruff AR",8741,0.0131 
"05","02","02","05029","AR","Conway AR",20336,0.0305 
"05","02","02","05045","AR","Faulkner AR",86014,0.1291 
"05","02","02","05105","AR","Perry AR",10209,0.0153 
"05","02","02","05119","AR","Pulaski AR",361474,0.5427 
"05","02","02","05125","AR","Saline AR",83529,0.1254 
"05","02","02","05141","AR","Van Buren AR",16192,0.0243 
"05","02","02","05145","AR","White AR",67165,0.1008 
"05","02","02","05149","AR","Yell AR",21139,0.0317 
"05","03","03","05007","AR","Benton AR",153406,0.228 
"05","03","03","05009","AR","Boone AR",33948,0.0505 
"05","03","03","05015","AR","Carroll AR",25357,0.0377 
"05","03","03","05033","AR","Crawford AR",53247,0.0791 
"05","03","03","05047","AR","Franklin AR",17771,0.0264 
"05","03","03","05071","AR","Johnson AR",22781,0.0339 
"05","03","03","05087","AR","Madison AR",14243,0.0212 
"05","03","03","05089","AR","Marion AR",16140,0.024 
"05","03","03","05101","AR","Newton AR",8608,0.0128 
"05","03","03","05115","AR","Pope AR",54469,0.081 
"05","03","03","05131","AR","Sebastian AR",115071,0.171 
"05","03","03","05143","AR","Washington AR",157715,0.2344 
"05","04","04","05003","AR","Ashley AR",24209,0.0363 
"05","04","04","05011","AR","Bradley AR",12600,0.0189 
"05","04","04","05013","AR","Calhoun AR",5744,0.0086 
"05","04","04","05017","AR","Chicot AR",14117,0.0212 
"05","04","04","05019","AR","Clark AR",23546,0.0353 
"05","04","04","05025","AR","Cleveland AR",8571,0.0129 
"05","04","04","05027","AR","Columbia AR",25603,0.0384 
"05","04","04","05039","AR","Dallas AR",9210,0.0138 
"05","04","04","05041","AR","Desha AR",15341,0.023 
"05","04","04","05043","AR","Drew AR",18723,0.0281 
"05","04","04","05051","AR","Garland AR",88068,0.1322 
"05","04","04","05053","AR","Grant AR",16464,0.0247 
"05","04","04","05057","AR","Hempstead AR",23587,0.0354 
"05","04","04","05059","AR","Hot Spring AR",30353,0.0456 
"05","04","04","05061","AR","Howard AR",14300,0.0215 
"05","04","04","05069","AR","Jefferson AR",84278,0.1265 
"05","04","04","05073","AR","Lafayette AR",8559,0.0128 
"05","04","04","05079","AR","Lincoln AR",14492,0.0218 
"05","04","04","05081","AR","Little River AR",13628,0.0205 
"05","04","04","05083","AR","Logan AR",22486,0.0338 
"05","04","04","05091","AR","Miller AR",40443,0.0607 
"05","04","04","05097","AR","Montgomery AR",9245,0.0139 
"05","04","04","05099","AR","Nevada AR",9955,0.0149 
"05","04","04","05103","AR","Ouachita AR",28790,0.0432 
"05","04","04","05109","AR","Pike AR",11303,0.017 
"05","04","04","05113","AR","Polk AR",20229,0.0304 
"05","04","04","05127","AR","Scott AR",10996,0.0165 
"05","04","04","05133","AR","Sevier AR",15757,0.0237 
"05","04","04","05139","AR","Union AR",45629,0.0685 
"06","01","01","06015","CA","Del Norte CA",27507,0.043 
"06","01","01","06023","CA","Humboldt CA",126518,0.198 
"06","01","01","06033","CA","Lake CA",58309,0.0912 
"06","01","01","06045","CA","Mendocino CA",86265,0.135 
"06","01","01","06055","CA","Napa CA",124279,0.1945 
"06","01","01","06097","CA","Sonoma CA",66816,0.1045 
"06","01","01","06113","CA","Yolo CA",149393,0.2338 
"06","02","02","06007","CA","Butte CA",158796,0.2485 
"06","02","02","06011","CA","Colusa CA",18804,0.0294 
"06","02","02","06021","CA","Glenn CA",26453,0.0414 
"06","02","02","06089","CA","Shasta CA",163256,0.2555 
"06","02","02","06093","CA","Siskiyou CA",44301,0.0693 
"06","02","02","06101","CA","Sutter CA",78930,0.1235 
"06","02","02","06103","CA","Tehama CA",56039,0.0877 
"06","02","02","06105","CA","Trinity CA",13022,0.0204 
"06","02","02","06113","CA","Yolo CA",19267,0.0301 
"06","02","02","06115","CA","Yuba CA",60219,0.0942 
"06","03","03","06003","CA","Alpine CA",1208,0.0019 
"06","03","03","06005","CA","Amador CA",35100,0.0549 
"06","03","03","06009","CA","Calaveras CA",40554,0.0635 
"06","03","03","06067","CA","Sacramento CA",550786,0.8618 
"06","03","03","06095","CA","Solano CA",11440,0.0179 
"06","04","04","06007","CA","Butte CA",44375,0.0694 
"06","04","04","06017","CA","El Dorado CA",156299,0.2446 
"06","04","04","06035","CA","Lassen CA",33828,0.0529 
"06","04","04","06049","CA","Modoc CA",9449,0.0148 
"06","04","04","06057","CA","Nevada CA",92033,0.144 
"06","04","04","06061","CA","Placer CA",248399,0.3887 
"06","04","04","06063","CA","Plumas CA",20824,0.0326 
"06","04","04","06067","CA","Sacramento CA",30326,0.0475 
"06","04","04","06091","CA","Sierra CA",3555,0.0056 
"06","05","05","06067","CA","Sacramento CA",639088,1 
