"state","cd111","cd113","cd114","county","stab","cntyname","intptlon","intptlat","pop10","afact","AFACT2"
"State code","111th Congressional district","113th Congressional district","cd114","County code","State abbreviation","County name","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Total population (2010)","cd114 to county allocation factor","county to cd114 allocation factor"
"01","02","02","02","01001","AL","Autauga AL",-86.494186,32.500389,54571,0.084682,1 
"01","01","01","01","01003","AL","Baldwin AL",-87.762466,30.548923,182265,0.266937,1 
"01","02","02","02","01005","AL","Barbour AL",-85.309929,31.844037,27457,0.042607,1 
"01","06","06","06","01007","AL","Bibb AL",-87.127656,33.030921,22915,0.038041,1 
"01","04","04","04","01009","AL","Blount AL",-86.426712,34.153597,4892,0.009065,0.085342 
"01","04","06","06","01009","AL","Blount AL",-86.606768,33.936736,52430,1,0.914657 
"01","02","02","02","01011","AL","Bullock AL",-85.701197,32.116327,10914,0.016936,1 
"01","02","02","02","01013","AL","Butler AL",-86.653511,31.773539,20947,0.032505,1 
"01","03","03","03","01015","AL","Calhoun AL",-85.819404,33.72546,118572,0.197875,1 
"01","03","03","03","01017","AL","Chambers AL",-85.266519,32.86044,34215,0.057099,1 
"01","03","03","03","01019","AL","Cherokee AL",-85.6353,34.163591,24215,0.04041,0.93174 
"01","03","04","04","01019","AL","Cherokee AL",-85.545905,34.394213,1774,1,0.06826 
"01","06","06","06","01021","AL","Chilton AL",-86.687443,32.877547,43643,0.072451,1 
"01","07","07","07","01023","AL","Choctaw AL",-88.264101,32.016563,13859,0.023769,1 
"01","01","01","01","01025","AL","Clarke AL",-87.862664,31.597877,8577,0.012561,0.332017 
"01","01","07","07","01025","AL","Clarke AL",-87.815894,31.722618,5039,1,0.19506 
"01","07","01","01","01025","AL","Clarke AL",-87.74426,31.592045,18,1,0.000697 
"01","07","07","07","01025","AL","Clarke AL",-87.782558,31.732305,12199,0.020922,0.472225 
"01","03","03","03","01027","AL","Clay AL",-85.820165,33.272412,13932,0.02325,1 
"01","03","03","03","01029","AL","Cleburne AL",-85.494301,33.629771,14972,0.024986,1 
"01","02","02","02","01031","AL","Coffee AL",-85.904739,31.354433,49948,0.077508,1 
"01","05","04","04","01033","AL","Colbert AL",-87.685151,34.723385,54428,0.611777,1 
"01","02","02","02","01035","AL","Conecuh AL",-86.996469,31.418674,13228,0.020527,1 
"01","03","06","06","01037","AL","Coosa AL",-86.100985,32.95537,8539,1,0.740012 
"01","06","06","06","01037","AL","Coosa AL",-86.30892,33.034461,3000,0.00498,0.259988 
"01","02","02","02","01039","AL","Covington AL",-86.410991,31.282449,37765,0.058603,1 
"01","02","02","02","01041","AL","Crenshaw AL",-86.297107,31.743487,13906,0.021579,1 
"01","04","04","04","01043","AL","Cullman AL",-86.831816,34.162363,80406,0.148997,1 
"01","02","02","02","01045","AL","Dale AL",-85.64126,31.383346,50251,0.077978,1 
"01","07","07","07","01047","AL","Dallas AL",-87.034938,32.408815,43820,0.075154,1 
"01","04","04","04","01049","AL","DeKalb AL",-85.817037,34.455111,71109,0.131769,1 
"01","02","02","02","01051","AL","Elmore AL",-86.225623,32.559653,79303,0.123061,1 
"01","01","01","01","01053","AL","Escambia AL",-87.282004,31.088737,38319,0.05612,1 
"01","04","04","04","01055","AL","Etowah AL",-86.025408,34.013693,104430,0.193515,1 
"01","04","04","04","01057","AL","Fayette AL",-87.770364,33.726422,17241,0.031949,1 
"01","04","04","04","01059","AL","Franklin AL",-87.793573,34.460481,31704,0.058749,1 
"01","02","02","02","01061","AL","Geneva AL",-85.788837,31.094261,26790,0.041572,1 
"01","07","07","07","01063","AL","Greene AL",-87.924012,32.830505,9045,0.015513,1 
"01","07","07","07","01065","AL","Hale AL",-87.62609,32.775805,15760,0.027029,1 
"01","02","02","02","01067","AL","Henry AL",-85.268773,31.478594,17302,0.026849,1 
"01","02","02","02","01069","AL","Houston AL",-85.391235,31.20455,101547,0.157579,1 
"01","05","04","04","01071","AL","Jackson AL",-86.048733,34.496525,200,0.002248,0.003757 
"01","05","05","05","01071","AL","Jackson AL",-85.938138,34.732873,53027,0.084202,0.996242 
"01","06","06","06","01073","AL","Jefferson AL",-86.795609,33.527713,337734,0.560668,0.51291 
"01","06","07","07","01073","AL","Jefferson AL",-86.787751,33.514348,22300,1,0.033867 
"01","07","06","06","01073","AL","Jefferson AL",-86.815023,33.542729,19473,1,0.029573 
"01","07","07","07","01073","AL","Jefferson AL",-86.839756,33.506225,278959,0.478431,0.42365 
"01","04","04","04","01075","AL","Lamar AL",-88.109666,33.76277,14564,0.026988,1 
"01","05","05","05","01077","AL","Lauderdale AL",-87.608752,34.86618,92709,0.147214,1 
"01","05","04","04","01079","AL","Lawrence AL",-87.272433,34.543683,34339,0.385974,1 
"01","03","03","03","01081","AL","Lee AL",-85.345889,32.588093,140247,0.234047,1 
"01","05","05","05","01083","AL","Limestone AL",-86.938983,34.815613,82782,0.131451,1 
"01","02","07","07","01085","AL","Lowndes AL",-86.618708,32.162415,11299,0.383589,1 
"01","03","03","03","01087","AL","Macon AL",-85.714998,32.425739,21452,0.0358,1 
"01","05","05","05","01089","AL","Madison AL",-86.613253,34.746392,334811,0.531651,1 
"01","07","07","07","01091","AL","Marengo AL",-87.800664,32.340479,21027,0.036062,1 
"01","04","04","04","01093","AL","Marion AL",-87.874308,34.111797,30776,0.05703,1 
"01","04","04","04","01095","AL","Marshall AL",-86.293319,34.311975,93019,0.17237,1 
"01","01","01","01","01097","AL","Mobile AL",-88.170618,30.683994,412992,0.604848,1 
"01","01","01","01","01099","AL","Monroe AL",-87.360832,31.505611,23068,0.033784,1 
"01","02","02","02","01101","AL","Montgomery AL",-86.258836,32.371336,107593,0.166961,0.469095 
"01","02","07","07","01101","AL","Montgomery AL",-86.297757,32.325498,18157,0.616411,0.079163 
"01","03","02","02","01101","AL","Montgomery AL",-86.214189,32.295846,38399,1,0.167416 
"01","03","03","03","01101","AL","Montgomery AL",-86.129577,32.352388,31854,0.053159,0.13888 
"01","03","07","07","01101","AL","Montgomery AL",-86.309084,32.328281,33360,1,0.145446 
"01","04","05","05","01103","AL","Morgan AL",-86.85293,34.47291,53062,1,0.444071 
"01","05","05","05","01103","AL","Morgan AL",-86.99306,34.547276,66428,0.105482,0.555929 
"01","07","07","07","01105","AL","Perry AL",-87.369124,32.581066,10591,0.018164,1 
"01","04","07","07","01107","AL","Pickens AL",-87.978746,33.365163,9594,1,0.48587 
"01","07","07","07","01107","AL","Pickens AL",-88.149258,33.224751,10152,0.017411,0.514129 
"01","02","02","02","01109","AL","Pike AL",-85.948661,31.787277,32899,0.051052,1 
"01","03","03","03","01111","AL","Randolph AL",-85.427305,33.257607,22913,0.038238,1 
"01","03","03","03","01113","AL","Russell AL",-85.062812,32.421972,52947,0.088359,1 
"01","04","03","03","01115","AL","St. Clair AL",-86.229568,33.891638,5428,1,0.064934 
"01","06","03","03","01115","AL","St. Clair AL",-86.378773,33.644587,78165,1,0.935066 
"01","06","06","06","01117","AL","Shelby AL",-86.737934,33.290719,195085,0.323858,1 
"01","07","07","07","01119","AL","Sumter AL",-88.232624,32.57442,13763,0.023604,1 
"01","03","03","03","01121","AL","Talladega AL",-86.169048,33.372084,82291,0.137329,1 
"01","03","03","03","01123","AL","Tallapoosa AL",-85.864547,32.853061,41616,0.06945,1 
"01","06","04","04","01125","AL","Tuscaloosa AL",-87.57608,33.294853,51640,1,0.265288 
"01","07","04","04","01125","AL","Tuscaloosa AL",-87.561946,33.230341,790,1,0.004058 
"01","07","07","07","01125","AL","Tuscaloosa AL",-87.499722,33.184764,142226,0.243926,0.730653 
"01","04","04","04","01127","AL","Walker AL",-87.253978,33.834859,67023,0.124198,1 
"01","01","01","01","01129","AL","Washington AL",-88.186207,31.410368,17581,0.025748,1 
"01","07","07","07","01131","AL","Wilcox AL",-87.380424,31.999753,11670,0.020015,1 
"01","04","04","04","01133","AL","Winston AL",-87.415772,34.163825,24484,0.04537,1 
"02","00","00","00","02013","AK","Aleutians East Borough AK",-162.874239,54.860151,3141,0.004423,1 
"02","00","00","00","02016","AK","Aleutians West Census Area AK",-155.382293,54.023572,5561,0.00783,1 
"02","00","00","00","02020","AK","Anchorage Borough AK",-149.793017,61.192232,291826,0.410889,1 
"02","00","00","00","02050","AK","Bethel Census Area AK",-162.139214,60.679947,17013,0.023954,1 
"02","00","00","00","02060","AK","Bristol Bay Borough AK",-156.834067,58.735464,997,0.001404,1 
"02","00","00","00","02068","AK","Denali Borough AK",-149.034088,63.882846,1826,0.002571,1 
"02","00","00","00","02070","AK","Dillingham Census Area AK",-158.715222,59.136257,4847,0.006825,1 
"02","00","00","00","02090","AK","Fairbanks North Star Borough AK",-147.624384,64.831553,97581,0.137393,1 
"02","00","00","00","02100","AK","Haines Borough AK",-135.560523,59.264126,2508,0.003531,1 
"02","00","00","00","02105","AK","Hoonah-Angoon Census Area",-135.388805,58.078283,2150,0.003027,1 
"02","00","00","00","02110","AK","Juneau Borough AK",-134.530698,58.358517,31275,0.044035,1 
"02","00","00","00","02122","AK","Kenai Peninsula Borough AK",-151.06323,60.292593,55400,0.078003,1 
"02","00","00","00","02130","AK","Ketchikan Gateway Borough AK",-131.678606,55.367859,13477,0.018976,1 
"02","00","00","00","02150","AK","Kodiak Island Borough AK",-152.460309,57.779138,13592,0.019137,1 
"02","00","00","00","02164","AK","Lake and Peninsula Borough AK",-156.294924,58.557351,1631,0.002296,1 
"02","00","00","00","02170","AK","Matanuska-Susitna Borough AK",-149.422185,61.611281,88995,0.125304,1 
"02","00","00","00","02180","AK","Nome Census Area AK",-165.297887,64.457027,9492,0.013365,1 
"02","00","00","00","02185","AK","North Slope Borough AK",-154.842509,70.52278,9430,0.013277,1 
"02","00","00","00","02188","AK","Northwest Arctic Borough AK",-161.649939,66.943735,7523,0.010592,1 
"02","00","00","00","02195","AK","Petersburg Census Area AK",-133.11533,56.812713,3815,0.005371,1 
"02","00","00","00","02198","AK","Prince of Wales-Hyder Census Area AK",-132.56354,55.448164,5559,0.007827,1 
"02","00","00","00","02220","AK","Sitka Borough AK",-135.337187,57.062747,8881,0.012504,1 
"02","00","00","00","02230","AK","Skagway Municipality AK",-135.311502,59.464537,968,0.001363,1 
"02","00","00","00","02240","AK","Southeast Fairbanks Census Area AK",-144.699458,63.856186,7029,0.009897,1 
"02","00","00","00","02261","AK","Valdez-Cordova Census Area AK",-145.874188,61.261491,9636,0.013567,1 
"02","00","00","00","02270","AK","Wade Hampton Census Area AK (D)",-164.308552,62.089902,7459,0.010502,1 
"02","00","00","00","02275","AK","Wrangell City and Borough AK",-132.311197,56.385822,2369,0.003336,1 
"02","00","00","00","02282","AK","Yakutat Borough AK",-139.724881,59.547975,662,0.000932,1 
"02","00","00","00","02290","AK","Yukon-Koyukuk Census Area AK",-152.360914,65.010263,5588,0.007868,1 
"04","01","01","01","04001","AZ","Apache AZ",-109.415078,35.577688,71518,0.133692,1 
"04","08","02","02","04003","AZ","Cochise AZ",-110.063145,31.607358,131346,0.20568,1 
"04","01","01","01","04005","AZ","Coconino AZ",-111.588779,35.507165,132836,0.248317,0.988208 
"04","02","01","01","04005","AZ","Coconino AZ",-111.647338,36.123005,1585,0.171222,0.011791 
"04","01","01","01","04007","AZ","Gila AZ",-110.694881,33.403116,26230,0.049033,0.489393 
"04","01","04","04","04007","AZ","Gila AZ",-111.309925,34.226536,27367,0.114332,0.510607 
"04","01","01","01","04009","AZ","Graham AZ",-109.812486,32.86733,37220,0.069577,1 
"04","01","01","01","04011","AZ","Greenlee AZ",-109.248825,32.970403,8437,0.015772,1 
"04","02","04","04","04012","AZ","La Paz AZ",-113.542009,34.236275,25,0.000107,0.00122 
"04","07","04","04","04012","AZ","La Paz AZ",-114.173016,33.907961,20464,0.229974,0.99878 
"04","02","03","03","04013","AZ","Maricopa AZ",-112.476319,33.423011,71415,1,0.018709 
"04","02","04","04","04013","AZ","Maricopa AZ",-112.619014,33.703827,35964,0.153334,0.009422 
"04","02","06","06","04013","AZ","Maricopa AZ",-112.144265,33.590014,9131,1,0.002392 
"04","02","07","07","04013","AZ","Maricopa AZ",-112.234938,33.530561,21338,1,0.00559 
"04","02","08","08","04013","AZ","Maricopa AZ",-112.293028,33.607289,627151,1,0.1643 
"04","03","04","04","04013","AZ","Maricopa AZ",-111.993004,33.896803,182,1,0.000048 
"04","03","06","06","04013","AZ","Maricopa AZ",-112.050639,33.637533,478027,1,0.125232 
"04","03","06","08","04013","AZ","Maricopa AZ",-112.026533,33.823407,193,1,0.000051 
"04","03","07","07","04013","AZ","Maricopa AZ",-112.112715,33.531833,23967,1,0.006279 
"04","03","08","08","04013","AZ","Maricopa AZ",-112.13195,33.798324,83052,1,0.021758 
"04","03","09","09","04013","AZ","Maricopa AZ",-112.045223,33.531704,122498,1,0.032092 
"04","04","03","03","04013","AZ","Maricopa AZ",-112.231495,33.416711,2258,1,0.000592 
"04","04","07","07","04013","AZ","Maricopa AZ",-112.122516,33.459251,656626,1,0.172021 
"04","04","08","08","04013","AZ","Maricopa AZ",-112.183455,33.553772,22,1,6E-6 
"04","04","09","09","04013","AZ","Maricopa AZ",-112.048312,33.497762,39408,1,0.010324 
"04","05","04","04","04013","AZ","Maricopa AZ",-111.70115,33.755367,1122,1,0.000294 
"04","05","05","05","04013","AZ","Maricopa AZ",-111.769472,33.47739,13,1,3E-6 
"04","05","06","06","04013","AZ","Maricopa AZ",-111.865533,33.603634,222873,1,0.058388 
"04","05","07","07","04013","AZ","Maricopa AZ",-112.054806,33.319109,4,1,1E-6 
"04","05","09","09","04013","AZ","Maricopa AZ",-111.926484,33.375614,432821,1,0.113389 
